date,symbol,asset_type,market_value,current_weight,target_weight,weight_gap,total_value,cash
2023-10-09,600519,stock,0.0,0.0,0.04,0.04,633445.96887,135552.86886999998
2023-10-09,601318,stock,0.0,0.0,0.04,0.04,633445.96887,135552.86886999998
2023-11-01,510300,etf,76989.8,0.12094364953042218,0.3,0.1790563504695778,636575.79624,137717.59623999998
2023-11-01,510500,etf,102125.0,0.16042865689083963,0.2,0.039571343109160384,636575.79624,137717.59623999998
2023-11-01,515180,etf,191780.0,0.30126813041395567,0.2,-0.10126813041395566,636575.79624,137717.59623999998
2023-11-01,518880,etf,127963.4,0.20101832453547383,0.1,-0.10101832453547382,636575.79624,137717.59623999998
2023-11-01,000333,stock,0.0,0.0,0.04,0.04,636575.79624,137717.59623999998
2023-11-01,000858,stock,0.0,0.0,0.04,0.04,636575.79624,137717.59623999998
2023-11-01,600036,stock,0.0,0.0,0.04,0.04,636575.79624,137717.59623999998
2023-11-01,600519,stock,0.0,0.0,0.04,0.04,636575.79624,137717.59623999998
2023-11-01,601318,stock,0.0,0.0,0.04,0.04,636575.79624,137717.59623999998
2023-12-01,510300,etf,74837.2,0.11575695215157343,0.3,0.18424304784842654,646502.85455,139906.15454999998
2023-12-01,510500,etf,103056.0,0.15940532864581455,0.2,0.04059467135418546,646502.85455,139906.15454999998
2023-12-01,515180,etf,193328.00000000003,0.2990365760017664,0.2,-0.09903657600176641,646502.85455,139906.15454999998
2023-12-01,518880,etf,135375.5,0.20939660056756976,0.1,-0.10939660056756975,646502.85455,139906.15454999998
2023-12-01,000333,stock,0.0,0.0,0.04,0.04,646502.85455,139906.15454999998
2023-12-01,000858,stock,0.0,0.0,0.04,0.04,646502.85455,139906.15454999998
2023-12-01,600036,stock,0.0,0.0,0.04,0.04,646502.85455,139906.15454999998
2023-12-01,600519,stock,0.0,0.0,0.04,0.04,646502.85455,139906.15454999998
2023-12-01,601318,stock,0.0,0.0,0.04,0.04,646502.85455,139906.15454999998
2024-01-02,510300,etf,72661.7,0.1115847400546968,0.3,0.18841525994530317,651179.54269,141963.64268999998
2024-01-02,510500,etf,99883.0,0.15338780390333948,0.2,0.046612196096660535,651179.54269,141963.64268999998
2024-01-02,515180,etf,191092.0,0.29345516477775946,0.2,-0.09345516477775945,651179.54269,141963.64268999998
2024-01-02,518880,etf,145579.2,0.22356230571774016,0.1,-0.12356230571774016,651179.54269,141963.64268999998
2024-01-02,000333,stock,0.0,0.0,0.04,0.04,651179.54269,141963.64268999998
2024-01-02,000858,stock,0.0,0.0,0.04,0.04,651179.54269,141963.64268999998
2024-01-02,600036,stock,0.0,0.0,0.04,0.04,651179.54269,141963.64268999998
2024-01-02,600519,stock,0.0,0.0,0.04,0.04,651179.54269,141963.64268999998
2024-01-02,601318,stock,0.0,0.0,0.04,0.04,651179.54269,141963.64268999998
2024-02-01,510300,etf,68860.3,0.10680541445243974,0.3,0.19319458554756025,644726.67751,144365.17750999998
2024-02-01,510500,etf,85975.0,0.13335108193761144,0.2,0.06664891806238857,644726.67751,144365.17750999998
2024-02-01,515180,etf,197550.6,0.3064098429476511,0.2,-0.1064098429476511,644726.67751,144365.17750999998
2024-02-01,518880,etf,147975.6,0.22951679395600139,0.1,-0.12951679395600138,644726.67751,144365.17750999998
2024-02-01,000333,stock,0.0,0.0,0.04,0.04,644726.67751,144365.17750999998
2024-02-01,000858,stock,0.0,0.0,0.04,0.04,644726.67751,144365.17750999998
2024-02-01,600036,stock,0.0,0.0,0.04,0.04,644726.67751,144365.17750999998
2024-02-01,600519,stock,0.0,0.0,0.04,0.04,644726.67751,144365.17750999998
2024-02-01,601318,stock,0.0,0.0,0.04,0.04,644726.67751,144365.17750999998
2024-03-01,510300,etf,76005.1,0.1100097621450383,0.3,0.1899902378549617,690894.13992,146710.93991999998
2024-03-01,510500,etf,99313.0,0.14374561059600194,0.2,0.05625438940399807,690894.13992,146710.93991999998
2024-03-01,515180,etf,218587.7,0.3163837806256552,0.2,-0.11638378062565519,690894.13992,146710.93991999998
2024-03-01,518880,etf,150277.4,0.2175114700168117,0.1,-0.1175114700168117,690894.13992,146710.93991999998
2024-03-01,000333,stock,0.0,0.0,0.04,0.04,690894.13992,146710.93991999998
2024-03-01,000858,stock,0.0,0.0,0.04,0.04,690894.13992,146710.93991999998
2024-03-01,600036,stock,0.0,0.0,0.04,0.04,690894.13992,146710.93991999998
2024-03-01,600519,stock,0.0,0.0,0.04,0.04,690894.13992,146710.93991999998
2024-03-01,601318,stock,0.0,0.0,0.04,0.04,690894.13992,146710.93991999998
2024-04-01,510300,etf,77241.70000000001,0.10760970908138429,0.3,0.1923902909186157,717794.8965699999,148821.19656999997
2024-04-01,510500,etf,99636.0,0.13880845416443194,0.2,0.06119154583556807,717794.8965699999,148821.19656999997
2024-04-01,515180,etf,223527.5,0.31140859466698845,0.2,-0.11140859466698844,717794.8965699999,148821.19656999997
2024-04-01,518880,etf,168568.5,0.23484215450055249,0.1,-0.13484215450055248,717794.8965699999,148821.19656999997
2024-04-01,000333,stock,0.0,0.0,0.04,0.04,717794.8965699999,148821.19656999997
2024-04-01,000858,stock,0.0,0.0,0.04,0.04,717794.8965699999,148821.19656999997
2024-04-01,600036,stock,0.0,0.0,0.04,0.04,717794.8965699999,148821.19656999997
2024-04-01,600519,stock,0.0,0.0,0.04,0.04,717794.8965699999,148821.19656999997
2024-04-01,601318,stock,0.0,0.0,0.04,0.04,717794.8965699999,148821.19656999997
2024-05-06,510300,etf,78707.3,0.10599409302591507,0.3,0.19400590697408493,742563.07831,150950.77830999997
2024-05-06,510500,etf,102106.0,0.1375048167387788,0.2,0.06249518326122122,742563.07831,150950.77830999997
2024-05-06,515180,etf,236366.2,0.3183112746972904,0.2,-0.11831127469729041,742563.07831,150950.77830999997
2024-05-06,518880,etf,174432.8,0.23490637374132817,0.1,-0.13490637374132816,742563.07831,150950.77830999997
2024-05-06,000333,stock,0.0,0.0,0.04,0.04,742563.07831,150950.77830999997
2024-05-06,000858,stock,0.0,0.0,0.04,0.04,742563.07831,150950.77830999997
2024-05-06,600036,stock,0.0,0.0,0.04,0.04,742563.07831,150950.77830999997
2024-05-06,600519,stock,0.0,0.0,0.04,0.04,742563.07831,150950.77830999997
2024-05-06,601318,stock,0.0,0.0,0.04,0.04,742563.07831,150950.77830999997
2024-06-03,510300,etf,77310.4,0.10263642540837546,0.3,0.1973635745916245,753245.25082,153073.25081999996
2024-06-03,510500,etf,97679.0,0.12967755175842716,0.2,0.07032244824157285,753245.25082,153073.25081999996
2024-06-03,515180,etf,246707.4,0.32752599466299814,0.2,-0.12752599466299813,753245.25082,153073.25081999996
2024-06-03,518880,etf,178475.2,0.23694168639723628,0.1,-0.13694168639723628,753245.25082,153073.25081999996
2024-06-03,000333,stock,0.0,0.0,0.04,0.04,753245.25082,153073.25081999996
2024-06-03,000858,stock,0.0,0.0,0.04,0.04,753245.25082,153073.25081999996
2024-06-03,600036,stock,0.0,0.0,0.04,0.04,753245.25082,153073.25081999996
2024-06-03,600519,stock,0.0,0.0,0.04,0.04,753245.25082,153073.25081999996
2024-06-03,601318,stock,0.0,0.0,0.04,0.04,753245.25082,153073.25081999996
2024-07-01,510300,etf,75341.0,0.09977864571702258,0.3,0.2002213542829774,755081.40503,155104.60502999995
2024-07-01,510500,etf,93138.0,0.12334828983942407,0.2,0.07665171016057594,755081.40503,155104.60502999995
2024-07-01,515180,etf,250272.0,0.33145035532964356,0.2,-0.13145035532964355,755081.40503,155104.60502999995
2024-07-01,518880,etf,181225.80000000002,0.24000829419551095,0.1,-0.14000829419551095,755081.40503,155104.60502999995
2024-07-01,000333,stock,0.0,0.0,0.04,0.04,755081.40503,155104.60502999995
2024-07-01,000858,stock,0.0,0.0,0.04,0.04,755081.40503,155104.60502999995
2024-07-01,600036,stock,0.0,0.0,0.04,0.04,755081.40503,155104.60502999995
2024-07-01,600519,stock,0.0,0.0,0.04,0.04,755081.40503,155104.60502999995
2024-07-01,601318,stock,0.0,0.0,0.04,0.04,755081.40503,155104.60502999995
2024-08-01,510300,etf,74928.79999999999,0.09929415192604964,0.3,0.20070584807395037,754614.43143,157422.63142999995
2024-08-01,510500,etf,90763.0,0.12027731808415516,0.2,0.07972268191584485,754614.43143,157422.63142999995
2024-08-01,515180,etf,236412.0,0.31328846912190306,0.2,-0.11328846912190305,754614.43143,157422.63142999995
2024-08-01,518880,etf,195088.00000000003,0.2585267281866142,0.1,-0.1585267281866142,754614.43143,157422.63142999995
2024-08-01,000333,stock,0.0,0.0,0.04,0.04,754614.43143,157422.63142999995
2024-08-01,000858,stock,0.0,0.0,0.04,0.04,754614.43143,157422.63142999995
2024-08-01,600036,stock,0.0,0.0,0.04,0.04,754614.43143,157422.63142999995
2024-08-01,600519,stock,0.0,0.0,0.04,0.04,754614.43143,157422.63142999995
2024-08-01,601318,stock,0.0,0.0,0.04,0.04,754614.43143,157422.63142999995
2024-09-02,510300,etf,71470.9,0.0955407561535643,0.3,0.20445924384643568,748067.13781,159725.23780999996
2024-09-02,510500,etf,84816.00000000001,0.11338019772971535,0.2,0.08661980227028467,748067.13781,159725.23780999996
2024-09-02,515180,etf,228887.99999999997,0.3059725369972538,0.2,-0.10597253699725379,748067.13781,159725.23780999996
2024-09-02,518880,etf,203167.0,0.27158925948114826,0.1,-0.17158925948114825,748067.13781,159725.23780999996
2024-09-02,000333,stock,0.0,0.0,0.04,0.04,748067.13781,159725.23780999996
2024-09-02,000858,stock,0.0,0.0,0.04,0.04,748067.13781,159725.23780999996
2024-09-02,600036,stock,0.0,0.0,0.04,0.04,748067.13781,159725.23780999996
2024-09-02,600519,stock,0.0,0.0,0.04,0.04,748067.13781,159725.23780999996
2024-09-02,601318,stock,0.0,0.0,0.04,0.04,748067.13781,159725.23780999996
2024-10-08,510300,etf,96202.9,0.11129913661470384,0.3,0.18870086338529615,864363.39873,162223.89872999996
2024-10-08,510500,etf,115767.0,0.13393325095682582,0.2,0.0660667490431742,864363.39873,162223.89872999996
2024-10-08,515180,etf,276466.0,0.3198492675721908,0.2,-0.11984926757219078,864363.39873,162223.89872999996
2024-10-08,518880,etf,213703.6,0.24723814117302104,0.1,-0.14723814117302103,864363.39873,162223.89872999996
2024-10-08,000333,stock,0.0,0.0,0.04,0.04,864363.39873,162223.89872999996
2024-10-08,000858,stock,0.0,0.0,0.04,0.04,864363.39873,162223.89872999996
2024-10-08,600036,stock,0.0,0.0,0.04,0.04,864363.39873,162223.89872999996
2024-10-08,600519,stock,0.0,0.0,0.04,0.04,864363.39873,162223.89872999996
2024-10-08,601318,stock,0.0,0.0,0.04,0.04,864363.39873,162223.89872999996
2024-11-01,510300,etf,86287.2,0.10149614986819945,0.3,0.19850385013180055,850152.44531,164480.44530999995
2024-11-01,510500,etf,110067.0,0.12946736859630523,0.2,0.07053263140369478,850152.44531,164480.44530999995
